case_id,question,relevant_document_ids,relevant_chunk_ids,relevance_grades,expected_competitor,expected_event_type,expected_dimension_tags,expected_version,expected_evidence_quote,query_filters
copilot_mdm_settings,企业管理员可以通过哪些 MDM 或配置工具下发 Copilot 设置？,"[""doc_c662dac54bf90b0dd481cf15""]","[""chunk_4d9c34ce8ee5ae8991efc89d""]","{""chunk_4d9c34ce8ee5ae8991efc89d"":3.0}",GitHub Copilot,product_release,"[""security_compliance""]",,"Microsoft Intune, Jamf, or Group Policy","{""competitor"":""GitHub Copilot"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""security_compliance""]}"
copilot_usage_metrics,Copilot usage metrics 对 CLI 代码行和 IDE 识别做了哪些修正？,"[""doc_6bb44d2c936c945ac444520d""]","[""chunk_f5551c7afe6caab4be1f688c"",""chunk_6c4ecdf43aa4448d7f572b81""]","{""chunk_f5551c7afe6caab4be1f688c"":3.0,""chunk_6c4ecdf43aa4448d7f572b81"":3.0}",GitHub Copilot,product_release,"[""performance_cost""]",,CLI now reports suggested lines of code,"{""competitor"":""GitHub Copilot"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""performance_cost""]}"
copilot_actions_token,在 GitHub Actions 中运行 Copilot CLI 时如何避免保存长期 PAT？,"[""doc_8eb19d5863c870145749e869""]","[""chunk_1350d337921848b2615aaad9""]","{""chunk_1350d337921848b2615aaad9"":3.0}",GitHub Copilot,product_release,"[""security_compliance""]",,using the built-in GITHUB_TOKEN,"{""competitor"":""GitHub Copilot"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""security_compliance""]}"
copilot_credit_pool,Copilot cost center 的 AI credit pool 如何限制共享额度消耗？,"[""doc_9b65f0e741c50b217696c1ee""]","[""chunk_ff3b762c737b86cc57cee0bc""]","{""chunk_ff3b762c737b86cc57cee0bc"":3.0}",GitHub Copilot,product_release,"[""performance_cost""]",,cap how much of your enterprise’s monthly included AI credits,"{""competitor"":""GitHub Copilot"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""performance_cost""]}"
copilot_vscode_1123_browser,GitHub Copilot 在 VS Code 1.123 系列中增加了哪些集成浏览器能力？,"[""doc_80f39385c29b604bae424e75""]","[""chunk_ae294dd151797994bb5a07cb""]","{""chunk_ae294dd151797994bb5a07cb"":3.0}",GitHub Copilot,product_release,"[""ide_ecosystem""]",1.123.0,"agents to navigate pages, inspect content, capture screenshots","{""competitor"":""GitHub Copilot"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""ide_ecosystem""],""product_versions"":[""1.123.0""]}"
copilot_release_agent_files,Copilot Chat 0.43 的工作区指令发现修复覆盖哪些文件？,"[""doc_d1cf692c573d5f591fd4be38""]","[""chunk_f084cc417c20ad82189d4083""]","{""chunk_f084cc417c20ad82189d4083"":3.0}",GitHub Copilot,product_release,"[""agent_context""]",0.43.2026040601,discover AGENTS.md and CLAUDE.md at workspace roots,"{""competitor"":""GitHub Copilot"",""source_types"":[""github_release""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""],""product_versions"":[""0.43.2026040601""]}"
trae_official_products,TRAE 官网提供哪两个主要产品入口？,"[""doc_842463a7603d24fd1c84ffb6""]","[""chunk_bf7282be775ae75bc00e6a3c""]","{""chunk_bf7282be775ae75bc00e6a3c"":3.0}",Trae,,"[""ide_ecosystem""]",,TRAE Work: Your Professional AI Work Assistant,"{""competitor"":""Trae"",""source_types"":[""official_page""],""current_only"":true,""dimension_tags"":[""ide_ecosystem""]}"
trae_pro_plus_price,TRAE Pro+ 的月费、用量倍率和并发云任务数是多少？,"[""doc_5445f3d105e50d526a266b97""]","[""chunk_e0dbd06911f3b6a48f421310""]","{""chunk_e0dbd06911f3b6a48f421310"":3.0}",Trae,pricing_change,"[""performance_cost""]",,3.5x more usage than Pro,"{""competitor"":""Trae"",""source_types"":[""pricing""],""current_only"":true,""event_types"":[""pricing_change""],""dimension_tags"":[""performance_cost""]}"
trae_ultra_price,TRAE Ultra 的月费、用量倍率和模型权益是什么？,"[""doc_5445f3d105e50d526a266b97""]","[""chunk_6de14d37a77f2cc45b8c4b2c""]","{""chunk_6de14d37a77f2cc45b8c4b2c"":3.0}",Trae,pricing_change,"[""performance_cost""]",,20x more usage than Pro,"{""competitor"":""Trae"",""source_types"":[""pricing""],""current_only"":true,""event_types"":[""pricing_change""],""dimension_tags"":[""performance_cost""]}"
trae_code_folding,TRAE 用户为什么请求关闭聊天代码块自动折叠？,"[""doc_0c71c303c48520b51191f60f""]","[""chunk_7bbb78d4667d4de6b6e18c92""]","{""chunk_7bbb78d4667d4de6b6e18c92"":3.0}",Trae,risk_experience,[],,requires extra clicks for every code block,"{""competitor"":""Trae"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""]}"
trae_mcp_response,TRAE 的 run_mcp 工具为何会造成重复解析和额外往返？,"[""doc_9ab726e6393860731425d275""]","[""chunk_e8fb45c9f6dd6239ebe732e1""]","{""chunk_e8fb45c9f6dd6239ebe732e1"":3.0}",Trae,risk_experience,"[""model_extensibility""]",,requiring double parsing,"{""competitor"":""Trae"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""],""dimension_tags"":[""model_extensibility""]}"
trae_codex_sidebar,TRAE 与 Codex Sidebar 集成时报告了哪些命令和布局问题？,"[""doc_a91cc2a565df06aded104073""]","[""chunk_a7698b751e6b239ed13577d6""]","{""chunk_a7698b751e6b239ed13577d6"":3.0}",Trae,risk_experience,"[""ide_ecosystem""]",,command 'chatgpt.openSidebar' not found,"{""competitor"":""Trae"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""],""dimension_tags"":[""ide_ecosystem""]}"
trae_sandbox_permission,TRAE 沙箱权限设计为什么会阻断自动化任务？,"[""doc_2fbd983a9eebd2fc9e77d04f""]","[""chunk_ab0d02b91f1d3a6110dd0b3c""]","{""chunk_ab0d02b91f1d3a6110dd0b3c"":3.0}",Trae,risk_experience,"[""security_compliance""]",,生成的脚本都在沙箱里运行,"{""competitor"":""Trae"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""],""dimension_tags"":[""security_compliance""]}"
codegeex_vscode_activation,CodeGeeX 的 VS Code 扩展激活失败时报告了什么状态码？,"[""doc_7287b6b1dfbdb42cb75be360""]","[""chunk_b2550a53185d7b05c7325edc""]","{""chunk_b2550a53185d7b05c7325edc"":3.0}",CodeGeeX,risk_experience,"[""ide_ecosystem""]",,status code 502,"{""competitor"":""CodeGeeX"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""],""dimension_tags"":[""ide_ecosystem""]}"
codegeex_sequential_mcp,CodeGeeX 中 sequential-thinking MCP 服务为何属于启动成功但调用失败？,"[""doc_0aaf91aa9a3d0ab095f066d8""]","[""chunk_f30c1bde475cd6d280f385a9""]","{""chunk_f30c1bde475cd6d280f385a9"":3.0}",CodeGeeX,risk_experience,"[""ide_ecosystem""]",,服务器可以正常启动,"{""competitor"":""CodeGeeX"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""],""dimension_tags"":[""ide_ecosystem""]}"
codegeex_path_escape,CodeGeeX 如何错误处理文件路径中的换行和制表转义组合？,"[""doc_4d0602486c2cb7d8f9c0780a""]","[""chunk_0d085a67b2f3c0fd952ecf4b""]","{""chunk_0d085a67b2f3c0fd952ecf4b"":3.0}",CodeGeeX,risk_experience,[],,路径中包含`\n`或`\t`,"{""competitor"":""CodeGeeX"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""]}"
codegeex_commit_message,CodeGeeX 用户如何评价生成提交消息功能的可用性？,"[""doc_f7112ada8b8a2bb261ab3e2c""]","[""chunk_93d2f31698564bf66c582387""]","{""chunk_93d2f31698564bf66c582387"":3.0}",CodeGeeX,risk_experience,[],,完全不可用的状态,"{""competitor"":""CodeGeeX"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""]}"
codegeex_rider_2026,CodeGeeX 用户提出了哪个 Rider 版本的兼容需求？,"[""doc_6fc7138f0dd4db1848553df9""]","[""chunk_f6c15d46b68f51a5cf358c14""]","{""chunk_f6c15d46b68f51a5cf358c14"":3.0}",CodeGeeX,risk_experience,[],,rider2026,"{""competitor"":""CodeGeeX"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""]}"
codegeex_image_upload,CodeGeeX VS Code 扩展的图片上传提案包含哪些交互方式？,"[""doc_956c8704456c0529de1e7ea0""]","[""chunk_b4717a2f1df4397556988779""]","{""chunk_b4717a2f1df4397556988779"":3.0}",CodeGeeX,risk_experience,"[""education_fit""]",,支持直接粘贴图片到聊天输入框,"{""competitor"":""CodeGeeX"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""],""dimension_tags"":[""education_fit""]}"
codegeex_wsl_path,CodeGeeX 在 VS Code 的 WSL 场景中为何找不到正确路径？,"[""doc_e16dc8410cf146e7ead53b03""]","[""chunk_72bd5d74dcafe4c7259d1b7c""]","{""chunk_72bd5d74dcafe4c7259d1b7c"":3.0}",CodeGeeX,risk_experience,"[""ide_ecosystem""]",,vscode没有把//wsl 路径带上,"{""competitor"":""CodeGeeX"",""source_types"":[""github_issue""],""current_only"":true,""event_types"":[""risk_experience""],""dimension_tags"":[""ide_ecosystem""]}"
lingma_agent_planning,通义灵码编程智能体如何拆解并执行编码任务？,"[""doc_38266a07333b62a6e453a5f7""]","[""chunk_9046a8c9c9f4e64e70c9fad4""]","{""chunk_9046a8c9c9f4e64e70c9fad4"":3.0}",通义灵码,,"[""agent_context""]",,具备自主规划、自动感知、工具使用等能力,"{""competitor"":""通义灵码"",""source_types"":[""official_page""],""current_only"":true,""dimension_tags"":[""agent_context""]}"
lingma_terminal_commands,通义灵码智能体怎样完成终端命令执行？,"[""doc_38266a07333b62a6e453a5f7""]","[""chunk_5b0c6fcf296b36be598e5c61""]","{""chunk_5b0c6fcf296b36be598e5c61"":3.0}",通义灵码,,"[""agent_context""]",,自动完成命令编写并运行终端,"{""competitor"":""通义灵码"",""source_types"":[""official_page""],""current_only"":true,""dimension_tags"":[""agent_context""]}"
lingma_project_awareness,通义灵码工程自动感知会识别哪些项目上下文？,"[""doc_38266a07333b62a6e453a5f7""]","[""chunk_32e1b46745e9038a32567f04""]","{""chunk_32e1b46745e9038a32567f04"":3.0}",通义灵码,,"[""agent_context""]",,自动感知工程框架、技术栈,"{""competitor"":""通义灵码"",""source_types"":[""official_page""],""current_only"":true,""dimension_tags"":[""agent_context""]}"
lingma_inline_generation,通义灵码行间代码生成使用哪些上下文并生成什么粒度的代码？,"[""doc_38266a07333b62a6e453a5f7""]","[""chunk_ea679da20754efea5138e399""]","{""chunk_ea679da20754efea5138e399"":3.0}",通义灵码,,"[""code_intelligence""]",,为你生成行级/函数级代码,"{""competitor"":""通义灵码"",""source_types"":[""official_page""],""current_only"":true,""dimension_tags"":[""code_intelligence""]}"
lingma_qa_sources,通义灵码研发智能问答基于哪些文档和知识来源？,"[""doc_38266a07333b62a6e453a5f7""]","[""chunk_e973fda99262bc6304090435""]","{""chunk_e973fda99262bc6304090435"":3.0}",通义灵码,,"[""code_intelligence""]",,基于海量研发文档、产品文档,"{""competitor"":""通义灵码"",""source_types"":[""official_page""],""current_only"":true,""dimension_tags"":[""code_intelligence""]}"
lingma_teams_price,Qoder CN 原灵码企业标准版的单价和 Credits 额度是多少？,"[""doc_718761b281eaa91de36c7030""]","[""chunk_ab214c112f0f0b084d1dd4f3"",""chunk_7a21f927acf5a7865f0c0b86""]","{""chunk_ab214c112f0f0b084d1dd4f3"":3.0,""chunk_7a21f927acf5a7865f0c0b86"":3.0}",通义灵码,pricing_change,"[""performance_cost""]",,99 元 / 席位·月,"{""competitor"":""通义灵码"",""source_types"":[""pricing""],""current_only"":true,""event_types"":[""pricing_change""],""dimension_tags"":[""performance_cost""]}"
